ofcom_field,ofcom_threshold,dietcoach_minor_category,recommendation_en,recommendation_de,explanation_en,explanation_de
energy ,5,Muesli and cereals,Reduce energy from muesli and cereals,Energieaufnahme aus Müsli und Frühstückscerealien reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
energy ,2,Sausages and cold cuts,Reduce energy from sausages and cold cuts,Energieaufnahme aus Wurst und Aufschnitt reduzieren,Foods with a lower energy density can help with weight loss and weight maintenance. ,Lebensmittel mit einem geringeren Energiegehalt können bei der Gewichtsabnahme und beim Gewichtserhalt helfen. 
saturated fat,9,Cheese products,Reduce saturated fat from cheese products,Gesättigte Fette aus Käseprodukten reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,3,Cream cheese and cottage cheese,Reduce saturated fat from cream cheese and cottage cheese,Gesättigte Fette aus Frisch- und Hüttenkäse reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,5,Dough,Reduce saturated fat from dough,Gesättigte Fette aus Teigen reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,0,Fats and oil,Reduce saturated fat from fats and oil,Gesättigte Fette aus Fetten und Ölen reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,2,Meat and fish,Reduce saturated fat from meat and fish,Gesättigte Fette aus Fleisch und Fisch reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,0,Milk products,Reduce saturated fat from milk products ,Gesättigte Fette aus Milchprodukten reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,0,Sausages and cold cuts,Reduce saturated fat from sausages and cold cuts,Gesättigte Fette aus Wurst und Aufschnitt reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
saturated fat,3,Vegetarian alternatives,Reduce saturated fat from vegetarian alternatives,Gesättigte Fette aus vegetarischen Alternativprodukten reduzieren,The intake of saturated fats is suggested to be reduced to less than 10% of total energy intake. Eating higher amounts of saturated fat is linked to an increased risk of cardiovascular diseases.,Der Anteil an gesättigten Fetten soll nicht mehr als 10% des täglichen Energieumsatzes betragen. Ein hoher Konsum an gesättigten Fetten kann das Risiko für Herz-Kreislauf-Erkrankungen erhöhen. 
fvpn,-1,Vegetables,Increase your purchase of vegetables,Mehr Gemüse einkaufen,"Vegetables provide vitamins, minerals, dietary fiber and phytochemicals. The Swiss Food Pyramid recommends to eat at least 3 portions (360 g) of vegetables a day. ","Gemüse liefert Vitamine, Mineralstoffe, Nahrungsfasern und sekundäre Pflanzenstoffe. Gemäss der Schweizer Ernährungspyramide sollten täglich mindestens 3 Portionen (360 g) Gemüse gegessen werden."
fiber,4,Breads,Increase fiber from breads,Nahrungsfasern aus Brot erhöhen,"Dietary fiber fills you up for a long time and activates intestinal activity. It is recommended to consume 30 g of dietary fiber per day. Good dietary fiber sources are whole grain products, vegetables and fruits. ","Nahrungsfasern sorgen für ein gutes Sättigungsggefühl und aktivieren die Darmtätigkeit. Es wird empfohlen 30 g Nahrungsfasern pro Tag aufzunehmen. Gute Quellen für Ballaststoffe sind Vollkornprodukte, Gemüse und Früchte."
fiber,4,Grain products,Increase fiber from grain products,Nahrungsfasern aus Getreideprodukten erhöhen,"Dietary fiber fills you up for a long time and activates intestinal activity. It is recommended to consume 30 g of dietary fiber per day. Good dietary fiber sources are whole grain products, vegetables and fruits. ","Nahrungsfasern sorgen für ein gutes Sättigungsggefühl und aktivieren die Darmtätigkeit. Es wird empfohlen 30 g Nahrungsfasern pro Tag aufzunehmen. Gute Quellen für Ballaststoffe sind Vollkornprodukte, Gemüse und Früchte."
sugar,-1,Bars,Reduce sugar from bars,Zuckeraufnahme aus Riegeln reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Ice cream and puddings,Reduce sugar from ice cream and puddings,Zuckeraufnahme aus Glacé und Pudding reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Jams and sweet spreads,Reduce sugar from jams and sweet spreads,Zuckeraufnahme aus Marmelade und süssen Aufstrichen reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Juices,Reduce sugar from juices,Zuckeraufnahme aus Säften reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Milk drinks,Reduce sugar from milk drinks,Zuckeraufnahme aus Milchgetränken reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Milk products,Reduce sugar from milk products,Zuckeraufnahme aus Milchprodukten reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Muesli and cereals,Reduce sugar from muesli and cereals,Zuckeraufnahme aus Müsli und Getreidflocken reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Sweet drinks,Reduce sugar from sweet drinks,Zuckeraufnahme aus süssen Getränken reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
sugar,-1,Sweet snacks,Reduce sugar from sweet snacks,Zuckeraufnahme aus süssen Snacks reduzieren,"Sugar does not contain any healthy ingredients such as vitamins or minerals, which is why it is also referred to as ""empty calories"".","Zucker enthält keinerlei gesunde Inhaltsstoffe wie Vitamine oder Mineralstoffe, man spricht deshalb auch von «leeren Kalorien»."
fvpn,-1,Fruits,Increase your purchase of fruits,Mehr Früchte einkaufen,"Fruits provide vitamins, minerals, dietary fiber and phytochemicals. The Swiss Food Pyramid recommends to eat at least 2 portions (240g) of fruits per day. ","Früchte liefern Vitamine, Mineralstoffe, Nahrungsfaser und sekundäre Pflanzenstoffe. Gemäss der Schweizer Ernährungspyramide sollten täglich mindestens 2 Portionen (240g) Früchte gegessen werden."
protein,5,Bars,Increase protein from bars,Proteinaufnahme aus Riegeln erhöhen,Proteins supply important building blocks for the organism. Diets higher in protein increase satiety. ,Proteine liefern wichtige Bausteine für den Organismus und sorgen für ein anhaltendes Sättigungsgefühl.
protein,5,Cream cheese and cottage cheese,Increase protein from cream cheese and cottage cheese,Proteinaufnahme aus Frisch- und Hüttenkäse erhöhen,Proteins supply important building blocks for the organism. Diets higher in protein increase satiety. ,Proteine liefern wichtige Bausteine für den Organismus und sorgen für ein anhaltendes Sättigungsgefühl.
protein,3,Milk products,Increase protein from milk products,Proteinaufnahme aus Milchprodukten erhöhen,Proteins supply important building blocks for the organism. Diets higher in protein increase satiety. ,Proteine liefern wichtige Bausteine für den Organismus und sorgen für ein anhaltendes Sättigungsgefühl.
sodium,4,Cheese products,Reduce sodium from cheese products,Salzaufnahme aus Käseprodukten reduzieren,WHO recommends limiting salt consumption to 5 g per day.,Die WHO empfiehlt den Salzkonsum auf 5 g pro Tag zu begrenzen.
sodium,2,Salty snacks,Reduce sodium from salty snacks,Salzaufnahme aus salzigen Snacks reduzieren,WHO recommends limiting salt consumption to 5 g per day.,Die WHO empfiehlt den Salzkonsum auf 5 g pro Tag zu begrenzen.
sodium,8,Sausages and cold cuts,Reduce sodium from sausages and cold cuts,Salzaufnahme aus Wurst und Aufschnitt reduzieren,WHO recommends limiting salt consumption to 5 g per day.,Die WHO empfiehlt den Salzkonsum auf 5 g pro Tag zu begrenzen.
